"stem.age","genus"
12.877273,"Mastixia"
12.877273,"Diplopanax"
17.991078,"Davidia"
12.616016,"Camptotheca"
12.616016,"Nyssa"
32.085292,"Caiophora"
12.422765,"Hydrangea"
12.422765,"Dichroa"
18.869732,"Philadelphus"
18.869732,"Deutzia"
60.141216,"Curtisia"
47.933066,"Alangium"
47.933066,"Cornus"
57.717777,"Drosophyllum"
57.717777,"Ancistrocladus"
86.759568,"Drosera"
86.759568,"Nepenthes"
52.640184,"Frankenia"
33.683332,"Reaumuria"
20.80755,"Myricaria"
20.80755,"Tamarix"
50.219546,"Limonium"
28.526506,"Ceratostigma"
28.526506,"Plumbago"
36.045443,"Rheum"
16.516016,"Fallopia"
16.516016,"Reynoutria"
44.743927,"Fagopyrum"
100.807036,"Rhabdodendron"
97.353576,"Simmondsia"
92.917798,"Physena"
2.69732,"Salicornia"
2.69732,"Halosarcia"
35.954626,"Bassia"
35.954626,"Haloxylon"
52.787952,"Amaranthus"
29.01181,"Aerva"
26.595106,"Cyathula"
24.131885,"Blutaparon"
24.131885,"Alternanthera"
59.768342,"Beta"
47.440098,"Spinacia"
20.191171,"Chenopodium"
20.191171,"Atriplex"
63.861647,"Polycarpaea"
53.14153,"Spergularia"
45.664584,"Schiedea"
45.664584,"Colobanthus"
34.593354,"Dianthus"
30.272326,"Saponaria"
30.272326,"Vaccaria"
32.537826,"Agrostemma"
32.537826,"Silene"
64.557703,"Mollugo"
24.108791,"Cistanthe"
21.713758,"Lewisia"
21.713758,"Calandrinia"
16.31248,"Talinum"
16.31248,"Talinella"
20.342566,"Pereskia"
18.950167,"Maihuenia"
15.473354,"Blossfeldia"
12.221315,"Lophophora"
10.804158,"Carnegiea"
10.804158,"Weingartia"
8.781706,"Opuntia"
8.781706,"Pereskiopsis"
28.532044,"Anacampseros"
29.517315,"Portulaca"
3.076275,"Didierea"
3.076275,"Alluaudia"
26.624171,"Portulacaria"
16.620031,"Basella"
16.620031,"Anredera"
47.814296,"Gisekia"
35.050475,"Sarcobatus"
10.665934,"Phytolacca"
10.665934,"Ercilla"
31.059655,"Hilleria"
31.059655,"Petiveria"
26.161614,"Bougainvillea"
11.627128,"Mirabilis"
10.499741,"Boerhavia"
10.499741,"Allionia"
21.156063,"Trianthema"
17.692082,"Zaleya"
7.525902,"Sesuvium"
7.525902,"Cypselea"
39.250458,"Tetragonia"
30.520183,"Delosperma"
30.520183,"Mesembryanthemum"
70.879794,"Microtea"
70.879794,"Stegnosperma"
85.380778,"Heisteria"
85.380778,"Erythropalum"
39.635121,"Helixanthera"
39.635121,"Dendropemon"
83.170474,"Schoepfia"
79.893304,"Cansjera"
72.298601,"Thesium"
11.678257,"Scleropyrum"
11.678257,"Pyrularia"
45.477612,"Exocarpos"
37.455977,"Santalum"
37.455977,"Osyris"
26.837178,"Phacellaria"
26.837178,"Daenikera"
44.732934,"Viscum"
44.732934,"Phoradendron"
33.932051,"Malania"
33.932051,"Ximenia"
100.009053,"Olax"
105.6369,"Cynomorium"
55.200555,"Crassula"
39.605743,"Kalanchoe"
39.605743,"Sedum"
52.565021,"Penthorum"
52.565021,"Myriophyllum"
69.686246,"Aphanopetalum"
6.80789,"Cyrilla"
6.80789,"Itea"
42.134446,"Saxifraga"
22.282508,"Astilbe"
19.369677,"Boykinia"
19.369677,"Tanakaea"
13.387526,"Bergenia"
13.387526,"Oresitrophe"
5.47607,"Heuchera"
4.435325,"Mitella"
3.073816,"Tellima"
3.073816,"Tiarella"
23.268739,"Chrysosplenium"
23.268739,"Peltoboykinia"
56.910353,"Ribes"
61.500864,"Daphniphyllum"
6.027458,"Liquidambar"
4.577058,"Altingia"
4.577058,"Semiliquidambar"
87.885378,"Cercidiphyllum"
21.748846,"Exbucklandia"
21.748846,"Rhodoleia"
83.6,"Hamamelis"
83.6,"Loropetalum"
85.9414,"Chunia"
105.238232,"Paeonia"
87.312501,"Viviania"
13.579147,"Melianthus"
13.579147,"Bersama"
13.141511,"Greyia"
13.141511,"Francoa"
89.635986,"Hypseocharis"
79.593443,"Pelargonium"
68.290576,"Monsonia"
55.921286,"Geranium"
55.921286,"Erodium"
36.935242,"Mouriri"
13.542914,"Medinilla"
13.542914,"Allomorphia"
18.245977,"Tetrazygia"
36.722372,"Crypteronia"
22.018828,"Penaea"
22.018828,"Rhynchocalyx"
83.6,"Vochysia"
56,"Heteropyxis"
26.21701,"Melaleuca"
23.768423,"Syzygium"
10.424286,"Rhodomyrtus"
10.424286,"Eugenia"
21.165122,"Baeckea"
6.570093,"Allosyncarpia"
6.570093,"Stockwellia"
8.527917,"Eucalyptus"
3.416692,"Corymbia"
3.416692,"Angophora"
15.11091,"Terminalia"
11.39486,"Getonia"
11.39486,"Combretum"
35.622082,"Rotala"
22.444957,"Punica"
22.444957,"Woodfordia"
27.774244,"Trapa"
17.116345,"Duabanga"
17.116345,"Lagerstroemia"
53.150145,"Ludwigia"
23.560766,"Epilobium"
0.05268,"Gaura"
