"stem.age","genus"
81.335692,"Viviania"
71.20911,"Geranium"
71.20911,"Hypseocharis"
28.890764,"Brexia"
28.890764,"Euonymus"
52.24505,"Stackhousia"
77.921488,"Parnassia"
22.842564,"Lepidobotrys"
22.842564,"Ruptiliocarpon"
67.630633,"Erythrospermum"
67.630633,"Hydnocarpus"
47.118768,"Rafflesia"
47.118768,"Rhizanthes"
92.984569,"Goupia"
92.984569,"Fusispermum"
15.290182,"Lacistema"
15.290182,"Lozania"
61.110424,"Abatia"
52.244155,"Populus"
52.244155,"Salix"
68.234305,"Scyphostegia"
78.263218,"Casearia"
63.805945,"Malesherbia"
63.805945,"Turnera"
70.187255,"Lophopyxis"
70.187255,"Drypetes"
96.611563,"Ctenolophon"
27.894274,"Cheilosa"
27.894274,"Neoscortechinia"
48.880131,"Codiaeum"
48.880131,"Suregada"
53.805047,"Pimelodendron"
31.079822,"Endospermum"
31.079822,"Tetrorchidium"
50.263752,"Dalechampia"
50.263752,"Moultonianthus"
19.852389,"Hevea"
19.852389,"Manihot"
55.034628,"Clutia"
55.034628,"Pogonophora"
48.993827,"Humiria"
48.993827,"Sacoglottis"
45.095683,"Aneulophus"
45.095683,"Erythroxylum"
67.443242,"Bruguiera"
67.443242,"Cassipourea"
98.939549,"Allantospermum"
45.176033,"Galearia"
45.176033,"Microdesmis"
101.252326,"Anthodiscus"
33.564067,"Ixonanthes"
33.564067,"Ochthocosmus"
37.605371,"Durandea"
37.605371,"Linum"
45.196729,"Medusagyne"
38.9699,"Quiina"
38.9699,"Sauvagesia"
44.486135,"Aporosa"
44.486135,"Bischofia"
54.456043,"Heywoodia"
54.456043,"Phyllanthus"
35.415918,"Androstachys"
35.415918,"Podocalyx"
54.443781,"Bonnetia"
54.443781,"Ploiarium"
60.90942,"Endodesmia"
60.90942,"Mammea"
38.531134,"Cratoxylum"
38.531134,"Hypericum"
45.848533,"Dalzellia"
45.848533,"Marathrum"
52.342522,"Clusia"
52.342522,"Garcinia"
51.704232,"Bergia"
51.704232,"Elatine"
54.567524,"Acridocarpus"
54.567524,"Byrsonima"
69.872496,"Bhesa"
69.872496,"Centroplacus"
105.318901,"Balanops"
53.739358,"Chrysobalanus"
53.739358,"Licania"
